# OSU MPI_Get latency Test v5.6.2
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_post/start/complete/wait
# Size          Latency (us)
1                       3.51
2                       3.52
4                       3.52
8                       3.53
16                      3.53
32                      3.51
64                      3.51
128                     3.55
256                     3.54
512                     3.56
1024                    3.58
2048                    3.65
4096                    3.89
8192                    4.01
16384                   4.24
32768                   4.96
65536                   5.88
131072                  8.45
262144                 13.18
524288                 21.27
1048576                37.50
2097152                79.20
4194304               237.06
