# OSU MPI_Get-CUDA latency Test v5.6.2
# Window creation: MPI_Win_create_dynamic
# Synchronization: MPI_Win_post/start/complete/wait
# Rank 0 Memory on DEVICE (D) and Rank 1 Memory on DEVICE (D)
# Size          Latency (us)
1                      37.82
2                      37.74
4                      37.71
8                      37.56
16                     37.45
32                     37.39
64                     37.37
128                    37.49
256                    37.56
512                    37.70
1024                   37.83
2048                   38.58
4096                   39.08
8192                   40.70
16384                  43.12
32768                  44.05
65536                  47.88
131072                 55.34
262144                 72.80
524288                105.34
1048576               176.58
2097152               264.78
4194304               450.12
