# OSU MPI_Put Bandwidth Test v5.6.2
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_fence
# Size      Bandwidth (MB/s)
1                       0.52
2                       1.05
4                       2.10
8                       4.22
16                      8.44
32                     16.87
64                     33.68
128                    67.42
256                   133.45
512                   265.53
1024                  519.78
2048                 1012.05
4096                 1808.19
8192                 3367.10
16384                5737.30
32768                9654.90
65536               13095.89
131072              12575.20
262144              11507.35
524288              11799.54
1048576             12149.83
2097152             12445.44
4194304             12572.66
