# OSU MPI_Get-CUDA latency Test v5.6.2
# Window creation: MPI_Win_create_dynamic
# Synchronization: MPI_Win_post/start/complete/wait
# Rank 0 Memory on HOST (H) and Rank 1 Memory on DEVICE (D)
# Size          Latency (us)
1                      22.30
2                      22.26
4                      22.28
8                      22.22
16                     22.23
32                     22.23
64                     22.23
128                    22.29
256                    22.35
512                    22.41
1024                   22.61
2048                   23.41
4096                   23.97
8192                   25.25
16384                  27.65
32768                  30.52
65536                  35.85
131072                 46.58
262144                 68.86
524288                112.15
1048576               201.05
2097152               288.98
4194304               468.19
