# OSU MPI_Get-CUDA Bandwidth Test v5.6.2
# Window creation: MPI_Win_create_dynamic
# Synchronization: MPI_Win_post/start/complete/wait
# Rank 0 Memory on HOST (H) and Rank 1 Memory on DEVICE (D)
# Size      Bandwidth (MB/s)
1                       0.08
2                       0.16
4                       0.33
8                       0.66
16                      1.32
32                      2.63
64                      5.23
128                    10.48
256                    20.97
512                    41.92
1024                   83.71
2048                  167.41
4096                  334.10
8192                  669.59
16384                1327.74
32768                2649.72
65536                5157.27
131072               7940.82
262144               8767.89
524288              10237.69
1048576             10652.22
2097152             10960.60
4194304             11096.54
