# OSU MPI_Get Bandwidth Test v5.6.2
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_post/start/complete/wait
# Size      Bandwidth (MB/s)
1                       0.86
2                       1.72
4                       3.42
8                       6.86
16                     13.62
32                     27.17
64                     54.13
128                   106.48
256                   209.75
512                   407.12
1024                  760.97
2048                 1329.13
4096                 2127.95
8192                 3153.57
16384                4211.45
32768                5391.33
65536                7510.54
131072               9336.39
262144              10628.74
524288              11426.27
1048576             11455.31
2097152             11452.85
4194304             11404.81
