# OSU MPI_Put Bandwidth Test v5.6.2
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_post/start/complete/wait
# Size      Bandwidth (MB/s)
1                       1.73
2                       3.44
4                       6.71
8                      13.81
16                     27.45
32                     56.97
64                    112.71
128                   223.24
256                   439.72
512                   876.14
1024                    1.01
2048                 3533.79
4096                 6577.17
8192                 9355.40
16384               10680.16
32768               11419.75
65536               11797.13
131072              12054.38
262144                 19.60
524288                 77.80
1048576                77.92
2097152               156.02
4194304               209.38
