# OSU MPI_Put Latency Test v5.6.2
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_post/start/complete/wait
# Size          Latency (us)
1                       8.03
2                       8.08
4                       7.99
8                       8.03
16                      8.08
32                      8.08
64                      8.12
128                     8.06
256                     8.08
512                     8.09
1024                    8.17
2048                    8.33
4096                    8.72
8192                    9.29
16384                  10.58
32768                  12.73
65536               18242.64
131072               6463.02
262144               8587.16
524288              30052.62
1048576             25763.06
2097152             58009.96
4194304             50268.72
