# OSU MPI_Put Bandwidth Test v5.6.2
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush_local
# Size      Bandwidth (MB/s)
1                       0.54
2                       1.08
4                       2.16
8                       4.31
16                      8.63
32                     17.26
64                     34.48
128                    68.83
256                   136.27
512                   272.81
1024                  533.49
2048                 1042.52
4096                 1857.06
8192                 3294.47
16384                6181.48
32768                9242.54
65536               13574.50
131072              12575.66
262144              11693.31
524288              11922.54
1048576             12128.02
2097152             12398.70
4194304             12576.95
