# OSU MPI_Get-CUDA latency Test v5.6.2
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Rank 0 Memory on DEVICE (D) and Rank 1 Memory on DEVICE (D)
# Size          Latency (us)
1                      17.32
2                      17.27
4                      17.28
8                      17.29
16                     17.27
32                     17.27
64                     17.28
128                    17.26
256                    17.24
512                    17.28
1024                   17.23
2048                   17.28
4096                   17.25
8192                   17.31
16384                  17.39
32768                  17.32
65536                  17.84
131072                 19.24
262144                 21.92
524288                 27.58
1048576                38.69
2097152                60.47
4194304               104.91
