# OSU MPI_Put Bandwidth Test v5.6.2
# Window creation: MPI_Win_create_dynamic
# Synchronization: MPI_Win_lock/unlock
# Size      Bandwidth (MB/s)
1                       2.01
2                       4.04
4                       8.18
8                      16.38
16                     32.46
32                     64.67
64                    127.75
128                   250.79
256                   515.79
512                  1006.92
1024                 1944.43
2048                 3465.60
4096                 5456.21
8192                 7406.13
16384                8225.21
32768                9655.31
65536               10704.69
131072              11179.95
262144              11364.64
524288              10434.55
1048576             10525.03
2097152             10503.01
4194304             10617.90
