# OSU MPI_Put Latency Test v5.6.2
# Window creation: MPI_Win_create_dynamic
# Synchronization: MPI_Win_lock/unlock
# Size          Latency (us)
1                      10.41
2                      10.47
4                      10.48
8                      10.43
16                     10.45
32                     10.45
64                     10.45
128                    10.49
256                    10.42
512                    10.48
1024                   10.71
2048                   11.47
4096                   11.86
8192                   13.42
16384                  15.55
32768                  18.08
65536                  21.02
131072                 27.43
262144                 40.48
524288                 63.74
1048576               109.42
2097152               199.83
4194304               380.27
