# OSU MPI_Get Bandwidth Test v5.6.2
# Window creation: MPI_Win_create
# Synchronization: MPI_Win_post/start/complete/wait
# Size      Bandwidth (MB/s)
1                       0.59
2                       1.21
4                       2.40
8                       4.82
16                      9.63
32                     19.29
64                     38.58
128                    76.97
256                   153.49
512                   305.25
1024                  597.72
2048                 1157.11
4096                 2008.65
8192                 3809.99
16384                6823.26
32768               11385.36
65536               15286.82
131072              13497.60
262144              12144.45
524288              12287.62
1048576             12282.92
2097152             12512.41
4194304             12612.70
