# OSU MPI_Get latency Test v5.6.2
# Window creation: MPI_Win_create
# Synchronization: MPI_Win_post/start/complete/wait
# Size          Latency (us)
1                       3.52
2                       3.54
4                       3.53
8                       3.54
16                      3.53
32                      3.53
64                      3.54
128                     3.54
256                     3.53
512                     3.56
1024                    3.59
2048                    3.64
4096                    3.92
8192                    4.07
16384                   4.30
32768                   4.78
65536                   5.69
131072                  8.20
262144                 12.96
524288                 21.03
1048576                37.30
2097152                76.19
4194304               241.03
