# OSU MPI_Get-CUDA Bandwidth Test v5.6.2
# Window creation: MPI_Win_create_dynamic
# Synchronization: MPI_Win_post/start/complete/wait
# Rank 0 Memory on DEVICE (D) and Rank 1 Memory on DEVICE (D)
# Size      Bandwidth (MB/s)
1                       0.06
2                       0.12
4                       0.25
8                       0.49
16                      0.98
32                      1.96
64                      3.92
128                     7.85
256                    15.73
512                    31.49
1024                   62.84
2048                  125.90
4096                  251.73
8192                  501.11
16384                 998.84
32768                1999.55
65536                4138.13
131072               8183.23
262144               9904.55
524288              10890.72
1048576             11391.48
2097152             11696.58
4194304             11852.97
