# OSU MPI_Get Bandwidth Test v5.6.2
# Window creation: MPI_Win_create_dynamic
# Synchronization: MPI_Win_lock_all/unlock_all
# Size      Bandwidth (MB/s)
1                       1.28
2                       2.85
4                       5.70
8                      11.37
16                     22.64
32                     45.35
64                     90.35
128                   179.31
256                   350.75
512                   658.66
1024                 1205.31
2048                 2100.37
4096                 3500.12
8192                 5237.62
16384                7137.04
32768                8707.71
65536                9895.50
131072              10611.15
262144              10484.14
524288              10719.24
1048576             10210.70
2097152             11048.55
4194304             11213.42
