# OSU MPI_Get latency Test v5.6.2
# Window creation: MPI_Win_create_dynamic
# Synchronization: MPI_Win_lock_all/unlock_all
# Size          Latency (us)
1                       6.19
2                       6.14
4                       6.07
8                       6.11
16                      6.14
32                      6.15
64                      6.18
128                     6.16
256                     6.28
512                     6.42
1024                    6.77
2048                    7.84
4096                    9.20
8192                   12.17
16384                  16.90
32768                  25.97
65536                  42.57
131072                 76.80
262144                145.49
524288                277.51
1048576               539.34
2097152               728.29
4194304              1064.03
