# OSU MPI_Put Bandwidth Test v5.6.2
# Window creation: MPI_Win_create_dynamic
# Synchronization: MPI_Win_lock_all/unlock_all
# Size      Bandwidth (MB/s)
1                       2.25
2                       5.05
4                      10.15
8                      20.24
16                     39.88
32                     79.15
64                    154.95
128                   300.00
256                   628.19
512                  1223.63
1024                 2324.13
2048                 4010.86
4096                 5658.23
8192                 7534.63
16384                8176.41
32768                8753.69
65536                8581.98
131072               7477.01
262144               7228.47
524288               6120.14
1048576              6351.56
2097152              6358.63
4194304              6358.50
