# OSU MPI Latency Test v5.6.2
# Size          Latency (us)
0                       1.18
1                       1.26
2                       1.26
4                       1.28
8                       1.28
16                      1.30
32                      1.33
64                      1.34
128                     1.40
256                     1.83
512                     1.95
1024                    2.17
2048                    3.07
4096                    3.75
8192                    5.18
16384                   7.18
32768                   9.55
65536                  12.49
131072                 18.55
262144                 29.17
524288                 50.41
1048576                95.91
2097152               186.79
4194304               368.63
