# OSU MPI_Get-CUDA Bandwidth Test v5.6.2
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_lock_all/unlock_all
# Rank 0 Memory on HOST (H) and Rank 1 Memory on DEVICE (D)
# Size      Bandwidth (MB/s)
1                       0.05
2                       0.09
4                       0.18
8                       0.37
16                      0.73
32                      1.47
64                      2.94
128                     5.86
256                    11.71
512                    23.39
1024                   46.59
2048                   92.80
4096                  184.38
8192                  365.37
16384                 720.95
32768                1393.22
65536                2562.30
131072               4350.56
262144               6334.13
524288               8604.49
1048576             10397.03
2097152             11608.28
4194304             11648.62
