# OSU MPI_Get-CUDA Bandwidth Test v5.6.2
# Window creation: MPI_Win_create_dynamic
# Synchronization: MPI_Win_lock_all/unlock_all
# Rank 0 Memory on DEVICE (D) and Rank 1 Memory on DEVICE (D)
# Size      Bandwidth (MB/s)
1                       0.06
2                       0.12
4                       0.24
8                       0.49
16                      0.98
32                      1.95
64                      3.91
128                     7.82
256                    15.68
512                    31.40
1024                   62.71
2048                  125.65
4096                  250.92
8192                  501.08
16384                 996.83
32768                1990.39
65536                4112.59
131072               8237.01
262144              10102.58
524288              11147.09
1048576             11673.43
2097152             11995.68
4194304             12160.58
