# OSU MPI_Get Bandwidth Test v5.6.2
# Window creation: MPI_Win_create_dynamic
# Synchronization: MPI_Win_flush
# Size      Bandwidth (MB/s)
1                       1.33
2                       2.75
4                       5.61
8                      11.37
16                     22.57
32                     44.96
64                     91.35
128                   180.99
256                   353.50
512                   661.01
1024                 1208.00
2048                 2092.94
4096                 3463.61
8192                 5202.06
16384                6974.82
32768                8419.63
65536                7264.82
131072               7332.32
262144               7592.51
524288               6393.48
1048576              6608.35
2097152              7031.62
4194304              7070.15
