# OSU MPI_Get-CUDA latency Test v5.6.2
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_lock/unlock
# Rank 0 Memory on DEVICE (D) and Rank 1 Memory on DEVICE (D)
# Size          Latency (us)
1                      20.10
2                      20.05
4                      19.96
8                      19.95
16                     19.98
32                     19.96
64                     19.97
128                    19.95
256                    19.98
512                    19.98
1024                   20.01
2048                   19.91
4096                   20.03
8192                   19.93
16384                  20.01
32768                  19.96
65536                  20.59
131072                 21.85
262144                 24.52
524288                 30.10
1048576                41.27
2097152                63.15
4194304               107.48
