# OSU MPI_Get-CUDA Bandwidth Test v5.6.2
# Window creation: MPI_Win_create
# Synchronization: MPI_Win_fence
# Rank 0 Memory on HOST (H) and Rank 1 Memory on DEVICE (D)
# Size      Bandwidth (MB/s)
1                       0.69
2                       1.38
4                       2.77
8                       5.55
16                     11.09
32                     22.22
64                     44.31
128                    87.46
256                   168.80
512                   330.82
1024                  624.76
2048                 1118.38
4096                 1846.79
