# OSU MPI_Put Bandwidth Test v5.6.2
# Window creation: MPI_Win_create
# Synchronization: MPI_Win_post/start/complete/wait
# Size      Bandwidth (MB/s)
1                       1.96
2                       4.03
4                       7.74
8                      16.10
16                     32.25
32                     62.76
64                    124.63
128                   241.88
256                   453.25
512                   906.90
1024                 1804.72
2048                 3082.89
4096                 5810.03
8192                 9995.69
16384               11106.89
32768               11693.08
65536               11976.59
131072              12133.04
262144              12214.16
524288              12251.91
1048576             12274.60
2097152             12285.38
4194304             12289.86
