# OSU MPI_Put Latency Test v5.6.2
# Window creation: MPI_Win_create
# Synchronization: MPI_Win_post/start/complete/wait
# Size          Latency (us)
1                       7.78
2                       7.67
4                       7.77
8                       7.73
16                      7.76
32                      7.72
64                      7.70
128                     7.63
256                     7.93
512                     7.83
1024                    7.84
2048                    8.44
4096                    8.40
8192                    9.20
16384                  10.37
32768                  13.06
65536               63934.44
131072              49393.54
262144              95222.90
524288             100933.84
1048576            115963.11
