# OSU MPI_Get-CUDA latency Test v5.6.2
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_fence
# Rank 0 Memory on DEVICE (D) and Rank 1 Memory on DEVICE (D)
# Size          Latency (us)
1                      18.57
2                      18.43
4                      18.44
8                      18.37
16                     18.49
32                     18.46
64                     18.43
128                    18.40
256                    18.42
512                    18.43
1024                   18.45
2048                   18.47
4096                   18.42
8192                   18.38
16384                  18.44
32768                  18.56
65536                  19.33
131072                 20.66
262144                 23.40
524288                 29.06
1048576                40.14
2097152                62.40
4194304               107.54
