# OSU MPI_Get latency Test v5.6.2
# Window creation: MPI_Win_create_dynamic
# Synchronization: MPI_Win_post/start/complete/wait
# Size          Latency (us)
1                       6.63
2                       6.54
4                       6.58
8                       6.57
16                      6.57
32                      6.55
64                      6.58
128                     6.60
256                     6.62
512                     6.72
1024                    6.94
2048                    7.77
4096                    8.44
8192                    9.96
16384                  12.15
32768                  16.45
65536                  23.20
131072                 37.23
262144                 65.28
524288                119.51
1048576               231.57
2097152               316.67
4194304               505.39
