# OSU MPI_Get Bandwidth Test v5.6.2
# Window creation: MPI_Win_create_dynamic
# Synchronization: MPI_Win_post/start/complete/wait
# Size      Bandwidth (MB/s)
1                       1.32
2                       2.73
4                       5.50
8                      10.92
16                     21.65
32                     43.75
64                     87.91
128                   174.11
256                   342.66
512                   652.37
1024                 1200.14
2048                 2094.85
4096                 3548.08
8192                 5322.05
16384                7438.41
32768                9207.92
65536               10361.92
131072               9345.41
262144              10706.19
524288              10936.35
1048576             10199.71
2097152             10695.79
4194304             10825.19
