# OSU MPI_Get-CUDA Bandwidth Test v5.6.2
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_fence
# Rank 0 Memory on DEVICE (D) and Rank 1 Memory on DEVICE (D)
# Size      Bandwidth (MB/s)
1                       0.69
2                       1.39
4                       2.77
8                       5.52
16                     11.05
32                     22.11
64                     44.04
128                    86.68
256                   168.25
512                   329.63
1024                  622.21
2048                 1117.44
4096                 1840.89
