# OSU MPI_Put Latency Test v5.6.2
# Window creation: MPI_Win_create_dynamic
# Synchronization: MPI_Win_lock_all/unlock_all
# Size          Latency (us)
1                       9.47
2                       9.58
4                       9.58
8                       9.57
16                      9.58
32                      9.59
64                      9.61
128                     9.66
256                     9.88
512                     9.95
1024                   10.08
2048                   10.37
4096                   10.92
8192                   11.88
16384                  13.67
32768                  15.77
65536                  18.26
131072                 23.94
262144                 36.55
524288                 59.46
1048576               105.11
2097152               195.21
4194304               375.23
