# OSU MPI_Get Bandwidth Test v5.6.2
# Window creation: MPI_Win_create
# Synchronization: MPI_Win_fence
# Size      Bandwidth (MB/s)
1                       0.85
2                       1.70
4                       3.39
8                       6.78
16                     13.55
32                     26.96
64                     53.71
128                   105.53
256                   206.54
512                   402.57
1024                  759.05
2048                 1320.89
4096                 2114.38
8192                 3143.76
16384                4286.62
32768                5578.57
65536                7695.65
131072               9478.48
262144              10716.81
524288              11465.11
1048576             11474.15
2097152             11416.75
4194304             11428.98
