# OSU MPI_Put Latency Test v5.6.2
# Window creation: MPI_Win_create
# Synchronization: MPI_Win_fence
# Size          Latency (us)
1                       5.53
2                       5.52
4                       5.52
8                       5.53
16                      5.53
32                      5.53
64                      5.53
128                     5.53
256                     5.53
512                     5.54
1024                    5.54
2048                    5.98
4096                    6.15
8192                    7.25
16384                   8.63
32768                  10.44
65536                  13.12
131072                 18.47
262144                 29.36
524288                 50.66
1048576                93.34
2097152               178.60
4194304               349.18
