# OSU MPI_Put Bandwidth Test v5.6.2
# Window creation: MPI_Win_create
# Synchronization: MPI_Win_fence
# Size      Bandwidth (MB/s)
1                       0.51
2                       1.05
4                       2.11
8                       4.20
16                      8.45
32                     16.83
64                     33.66
128                    67.42
256                   133.84
512                   266.36
1024                  526.21
2048                 1021.28
4096                 1815.82
8192                 3452.63
16384                6267.03
32768               10518.71
65536               14456.48
131072              13234.70
262144              11953.26
524288              12191.18
1048576             12370.98
2097152             12614.23
4194304             12732.91
