# OSU MPI_Get latency Test v5.6.2
# Window creation: MPI_Win_create
# Synchronization: MPI_Win_fence
# Size          Latency (us)
1                       3.91
2                       3.89
4                       3.89
8                       3.89
16                      3.90
32                      3.89
64                      3.89
128                     3.90
256                     3.91
512                     3.94
1024                    3.98
2048                    4.03
4096                    4.29
8192                    4.45
16384                   4.68
32768                   5.12
65536                   6.10
131072                  8.71
262144                 13.57
524288                 21.59
1048576                37.85
2097152                72.07
4194304               244.86
