# OSU MPI_Put Latency Test v5.6.2
# Window creation: MPI_Win_create_dynamic
# Synchronization: MPI_Win_post/start/complete/wait
# Size          Latency (us)
1                       2.07
2                       2.07
4                       2.07
8                       2.09
16                      2.09
32                      2.09
64                      2.17
128                     2.20
256                     2.44
512                     2.51
1024                    2.67
2048                    3.22
4096                    3.80
8192                    5.18
16384                   7.03
32768                   9.44
65536                  12.59
131072                 19.97
262144                 31.82
524288                 53.83
1048576               102.48
2097152               227.26
4194304               623.33
