# OSU MPI_Put Bandwidth Test v5.6.2
# Window creation: MPI_Win_create_dynamic
# Synchronization: MPI_Win_post/start/complete/wait
# Size      Bandwidth (MB/s)
1                       2.37
2                       5.23
4                      10.36
8                      20.92
16                     41.01
32                     81.51
64                    160.08
128                   308.33
256                   651.31
512                  1257.27
1024                 2397.64
2048                 4226.42
4096                 5824.26
8192                 7714.31
16384                8307.16
32768                8822.18
65536                8606.18
131072               7551.37
262144               7276.27
524288               6081.59
1048576              6249.12
2097152              6301.24
4194304              6237.22
