# OSU MPI_Get-CUDA latency Test v5.6.2
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Rank 0 Memory on DEVICE (D) and Rank 1 Memory on HOST (H)
# Size          Latency (us)
1                       3.84
2                       3.80
4                       3.77
8                       3.78
16                      3.76
32                      3.79
64                      3.81
128                     3.81
256                     3.81
512                     3.85
1024                    3.94
2048                    4.30
4096                    4.63
8192                    5.79
16384                   6.98
32768                   9.17
65536                  11.92
131072                 17.06
262144                 27.82
524288                101.33
1048576               184.77
2097152               269.70
4194304               439.94
