# OSU MPI_Get-CUDA Bandwidth Test v5.6.2
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_post/start/complete/wait
# Rank 0 Memory on DEVICE (D) and Rank 1 Memory on DEVICE (D)
# Size      Bandwidth (MB/s)
1                       0.08
2                       0.17
4                       0.34
8                       0.68
16                      1.37
32                      2.73
64                      5.46
128                    10.92
256                    21.88
512                    43.86
1024                   87.48
2048                  175.02
4096                  351.09
8192                  701.01
16384                1400.77
32768                2814.48
65536                5475.99
131072              11189.65
262144              23987.33
524288              32271.25
1048576             38299.67
2097152             42419.00
4194304             44613.07
