# OSU MPI_Put Bandwidth Test v5.6.2
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_lock/unlock
# Size      Bandwidth (MB/s)
1                       1.47
2                       2.99
4                       5.97
8                      12.06
16                     23.36
32                     46.06
64                     93.22
128                   184.26
256                   361.11
512                   740.71
1024                 1482.46
2048                 2969.11
4096                 5609.79
8192                 8312.42
16384                9956.02
32768               10990.85
65536               11603.85
131072              11931.75
262144              12107.35
524288              12196.14
1048576             12242.34
2097152             12268.15
4194304             12278.76
