# OSU MPI_Get Bandwidth Test v5.6.2
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_lock/unlock
# Size      Bandwidth (MB/s)
1                       0.81
2                       1.62
4                       3.25
8                       6.50
16                     12.93
32                     25.65
64                     51.21
128                   101.02
256                   199.19
512                   386.47
1024                  728.11
2048                 1279.01
4096                 2059.47
8192                 3086.49
16384                4146.45
32768                5363.04
65536                7476.79
131072               9301.08
262144              10615.70
524288              11414.28
1048576             11454.07
2097152             11459.94
4194304             11428.56
