# OSU MPI_Get-CUDA latency Test v5.6.2
# Window creation: MPI_Win_create_dynamic
# Synchronization: MPI_Win_lock_all/unlock_all
# Rank 0 Memory on DEVICE (D) and Rank 1 Memory on HOST (H)
# Size          Latency (us)
1                      28.10
2                      28.17
4                      28.16
8                      28.23
16                     28.15
32                     28.25
64                     28.20
128                    28.18
256                    28.27
512                    28.34
1024                   28.55
2048                   29.40
4096                   30.06
8192                   31.36
16384                  34.27
32768                  36.53
65536                  41.55
131072                 50.95
262144                 70.73
524288                111.15
1048576               194.95
2097152               279.50
4194304               449.83
