# OSU MPI_Get-CUDA latency Test v5.6.2
# Window creation: MPI_Win_create
# Synchronization: MPI_Win_flush
# Rank 0 Memory on DEVICE (D) and Rank 1 Memory on DEVICE (D)
# Size          Latency (us)
1                       4.08
2                       4.00
4                       4.00
8                       3.99
16                      3.98
32                      4.00
64                      4.01
128                     4.03
256                     4.06
512                     4.10
1024                    4.18
2048                    4.42
4096                    5.35
8192                    6.43
16384                   7.52
32768                   9.64
65536                  12.19
131072                 17.89
262144                 28.52
524288                102.91
1048576               174.14
2097152               259.65
4194304               435.33
