# OSU MPI_Get latency Test v5.6.2
# Window creation: MPI_Win_create_dynamic
# Synchronization: MPI_Win_flush_local
# Size          Latency (us)
1                       3.48
2                       3.45
4                       3.44
8                       3.46
16                      3.44
32                      3.45
64                      3.46
128                     3.50
256                     3.55
512                     3.64
1024                    3.82
2048                    4.60
4096                    5.29
8192                    6.75
16384                   8.98
32768                  13.20
65536                  19.89
131072                 33.10
262144                 61.17
524288                116.50
1048576               225.96
2097152               300.79
4194304               476.55
