# OSU MPI_Put Bandwidth Test v5.6.2
# Window creation: MPI_Win_create_dynamic
# Synchronization: MPI_Win_flush_local
# Size      Bandwidth (MB/s)
1                       2.85
2                       5.67
4                      11.40
8                      22.81
16                     44.42
32                     88.44
64                    174.78
128                   342.13
256                   709.28
512                  1386.18
1024                 2719.96
2048                 4906.73
4096                 7925.46
8192                10713.84
16384                9810.40
32768               11411.56
65536               12054.18
131072              12056.01
262144              11782.93
524288              11847.33
1048576             10796.06
2097152             10496.29
4194304             10681.77
