# OSU MPI_Get Bandwidth Test v5.6.2
# Window creation: MPI_Win_create_dynamic
# Synchronization: MPI_Win_flush_local
# Size      Bandwidth (MB/s)
1                       1.41
2                       2.96
4                       5.88
8                      11.86
16                     23.49
32                     47.24
64                     94.60
128                   187.95
256                   366.37
512                   699.72
1024                 1276.39
2048                 2263.49
4096                 3743.90
8192                 5563.09
16384                7669.37
32768                9247.00
65536               10356.46
131072               9316.68
262144              10726.16
524288              10946.68
1048576             10438.42
2097152             10985.42
4194304             11117.91
