# OSU MPI-CUDA Bandwidth Test v5.6.2
# Send Buffer on HOST (H) and Receive Buffer on DEVICE (D)
# Size      Bandwidth (MB/s)
1                       0.05
2                       0.09
4                       0.19
8                       0.38
16                      0.76
32                      1.51
64                      3.02
128                     6.07
256                    12.27
512                    24.51
1024                   48.88
2048                   97.28
4096                   98.85
8192                  132.20
16384                 734.19
32768                1466.49
65536                2911.51
131072               5794.81
262144              11036.25
524288              17870.27
1048576             23632.50
2097152             25868.63
4194304             26145.37
