# OSU MPI-CUDA Latency Test v5.6.2
# Send Buffer on HOST (H) and Receive Buffer on DEVICE (D)
# Size          Latency (us)
0                       0.28
1                      30.45
2                      30.34
4                      30.37
8                      30.43
16                     30.43
32                     30.46
64                     30.45
128                    30.45
256                    30.52
512                    30.60
1024                   30.80
2048                   31.05
4096                   41.77
8192                   52.87
16384                  40.77
32768                  42.14
65536                  45.90
131072                 50.56
262144                 58.58
524288                 75.23
1048576               107.70
2097152               171.18
4194304               333.09
