# OSU MPI_Get-CUDA latency Test v5.6.2
# Window creation: MPI_Win_create
# Synchronization: MPI_Win_lock_all/unlock_all
# Rank 0 Memory on DEVICE (D) and Rank 1 Memory on DEVICE (D)
# Size          Latency (us)
1                      20.05
2                      19.86
4                      19.82
8                      19.82
16                     19.95
32                     19.88
64                     19.86
128                    19.82
256                    19.80
512                    19.78
1024                   19.86
2048                   19.79
4096                   19.81
8192                   19.89
16384                  19.90
32768                  19.97
65536                  20.84
131072                 22.14
262144                 24.86
524288                 30.43
1048576                41.49
2097152                63.91
4194304               108.28
