# OSU MPI_Get-CUDA Bandwidth Test v5.6.2
# Window creation: MPI_Win_create_dynamic
# Synchronization: MPI_Win_fence
# Rank 0 Memory on DEVICE (D) and Rank 1 Memory on HOST (H)
# Size      Bandwidth (MB/s)
1                       0.08
2                       0.17
4                       0.33
8                       0.66
16                      1.33
32                      2.65
64                      5.32
128                    10.66
256                    21.30
512                    42.65
1024                   85.41
2048                  170.83
4096                  339.82
8192                  674.15
16384                1318.49
32768                2625.71
65536                5075.94
131072               8981.97
262144              11941.36
524288              11997.92
1048576              9307.55
2097152             10135.32
4194304             10268.25
