# OSU MPI_Get Bandwidth Test v5.6.2
# Window creation: MPI_Win_create_dynamic
# Synchronization: MPI_Win_fence
# Size      Bandwidth (MB/s)
1                       1.22
2                       2.69
4                       5.35
8                      10.74
16                     21.44
32                     42.71
64                     85.99
128                   169.37
256                   330.86
512                   623.80
1024                 1143.83
2048                 1983.70
4096                 3309.30
8192                 5024.94
16384                6812.20
32768                8298.16
65536                7157.04
131072               8255.17
262144               7527.66
524288               5779.28
1048576              5827.97
2097152              5918.64
4194304              5955.49
