# OSU MPI_Get-CUDA Bandwidth Test v5.6.2
# Window creation: MPI_Win_create
# Synchronization: MPI_Win_flush_local
# Rank 0 Memory on DEVICE (D) and Rank 1 Memory on DEVICE (D)
# Size      Bandwidth (MB/s)
1                       0.09
2                       0.18
4                       0.36
8                       0.73
16                      1.45
32                      2.90
64                      5.77
128                    11.60
256                    23.23
512                    46.40
1024                   92.56
2048                  185.38
4096                  373.95
8192                  745.02
16384                1482.24
32768                2970.58
65536                5791.84
131072              11834.88
262144              24926.63
524288              32753.67
1048576             38616.70
2097152             42444.58
4194304             44624.93
