# OSU MPI_Put Bandwidth Test v5.6.2
# Window creation: MPI_Win_create_dynamic
# Synchronization: MPI_Win_fence
# Size      Bandwidth (MB/s)
1                       2.29
2                       4.60
4                       9.26
8                      18.50
16                     36.41
32                     72.15
64                    142.74
128                   279.27
256                   576.13
512                  1132.89
1024                 2167.72
2048                 3809.17
4096                 5816.73
8192                 7690.37
16384                8271.34
32768                9631.22
65536               10630.02
131072              11083.94
262144              11229.93
524288              10538.99
1048576             10563.91
2097152             10539.30
4194304             10665.46
