# OSU MPI_Get latency Test v5.6.2
# Window creation: MPI_Win_create_dynamic
# Synchronization: MPI_Win_fence
# Size          Latency (us)
1                       8.81
2                       8.76
4                       8.76
8                       8.77
16                      8.72
32                      8.85
64                      8.79
128                     8.84
256                     8.86
512                     9.02
1024                    9.17
2048                   10.10
4096                   10.68
8192                   12.17
16384                  14.42
32768                  18.70
65536                  25.79
131072                 39.56
262144                 68.74
524288                125.72
1048576               241.00
2097152               326.88
4194304               521.68
