# OSU MPI_Put Latency Test v5.6.2
# Window creation: MPI_Win_create_dynamic
# Synchronization: MPI_Win_fence
# Size          Latency (us)
1                       5.29
2                       5.19
4                       5.25
8                       5.20
16                      5.25
32                      5.20
64                      5.27
128                     5.24
256                     5.40
512                     5.50
1024                    5.73
2048                    6.49
4096                    6.95
8192                    8.44
16384                  10.67
32768                  13.12
65536                  16.17
131072                 22.90
262144                 35.93
524288                 59.42
1048576               105.18
2097152               195.81
4194304               377.96
