# OSU MPI Bandwidth Test v5.6.2
# Size      Bandwidth (MB/s)
1                       5.60
2                      11.08
4                      22.95
8                      45.91
16                     93.90
32                    187.33
64                    371.70
128                   724.83
256                  1089.98
512                  2047.87
1024                 3604.07
2048                 5954.24
4096                 8405.12
8192                12255.80
16384                6949.79
32768               11748.37
65536               17952.90
131072              22722.32
262144              24038.23
524288              27655.39
1048576             29864.32
2097152             31169.75
4194304             24628.60
