# OSU MPI-CUDA Bandwidth Test v5.6.2
# Send Buffer on DEVICE (D) and Receive Buffer on DEVICE (D)
# Size      Bandwidth (MB/s)
1                       0.63
2                       1.26
4                       2.51
8                       5.00
16                     10.02
32                     19.98
64                     39.83
128                    78.66
256                   152.29
512                   298.87
1024                  565.09
2048                 1025.84
4096                 1717.57
8192                 2448.13
16384                3602.23
32768                4946.63
65536                7058.33
131072               8733.67
262144              10226.17
524288              11576.51
1048576             11921.25
2097152             12095.71
4194304             12224.85
