# OSU MPI-CUDA Latency Test v5.6.2
# Send Buffer on DEVICE (D) and Receive Buffer on DEVICE (D)
# Size          Latency (us)
0                       1.19
1                       6.04
2                       6.05
4                       6.03
8                       6.03
16                      6.04
32                      6.04
64                      6.04
128                     6.06
256                     6.16
512                     6.21
1024                    6.33
2048                    6.91
4096                    7.28
8192                    8.23
16384                   9.41
32768                  11.48
65536                  14.16
131072                 19.90
262144                 30.54
524288                106.06
1048576               177.18
2097152               262.78
4194304               440.29
