# OSU MPI_Get latency Test v5.6.2
# Window creation: MPI_Win_create_dynamic
# Synchronization: MPI_Win_flush
# Size          Latency (us)
1                       4.43
2                       4.40
4                       4.35
8                       4.33
16                      4.39
32                      4.36
64                      4.42
128                     4.43
256                     4.55
512                     4.71
1024                    5.07
2048                    5.57
4096                    6.24
8192                    7.73
16384                   9.85
32768                  13.97
65536                  20.59
131072                 33.80
262144                 61.11
524288                116.22
1048576               222.32
2097152               302.66
4194304               472.95
