# OSU MPI_Put Bandwidth Test v5.6.2
# Window creation: MPI_Win_create_dynamic
# Synchronization: MPI_Win_flush
# Size      Bandwidth (MB/s)
1                       2.72
2                       5.44
4                      10.87
8                      21.56
16                     42.70
32                     84.86
64                    165.80
128                   326.00
256                   678.25
512                  1327.92
1024                 2504.87
2048                 4308.27
4096                 6453.06
8192                 8236.16
16384                8610.02
32768                9852.29
65536               10805.74
131072              11165.58
262144              11400.05
524288              10648.82
1048576             10708.35
2097152             10741.87
4194304             10804.08
