# OSU MPI_Put Latency Test v5.6.2
# Window creation: MPI_Win_create_dynamic
# Synchronization: MPI_Win_flush
# Size          Latency (us)
1                       3.18
2                       3.16
4                       3.16
8                       3.15
16                      3.16
32                      3.17
64                      3.14
128                     3.16
256                     3.29
512                     3.33
1024                    3.44
2048                    4.22
4096                    4.58
8192                    6.27
16384                   8.30
32768                  10.73
65536                  13.78
131072                 19.95
262144                 32.46
524288                 55.65
1048576               101.25
2097152               191.47
4194304               371.27
