# OSU MPI_Put Bandwidth Test v5.6.2
# Window creation: MPI_Win_create
# Synchronization: MPI_Win_flush
# Size      Bandwidth (MB/s)
1                       0.53
2                       1.05
4                       2.13
8                       4.25
16                      8.56
32                     17.08
64                     34.29
128                    68.23
256                   136.41
512                   271.70
1024                  532.80
2048                 1040.56
4096                 1836.19
8192                 3496.45
16384                6353.75
32768               10663.74
65536               13948.10
131072              13498.28
262144              12260.13
524288              12460.90
1048576             12648.01
2097152             12887.67
4194304             13003.67
