# OSU MPI_Put Latency Test v5.6.2
# Window creation: MPI_Win_create
# Synchronization: MPI_Win_flush
# Size          Latency (us)
1                       3.01
2                       2.99
4                       2.98
8                       2.99
16                      2.98
32                      2.98
64                      2.99
128                     2.99
256                     2.99
512                     3.01
1024                    3.07
2048                    3.13
4096                    3.35
8192                    3.47
16384                   3.68
32768                   4.17
65536                   5.03
131072                  7.27
262144                 12.65
524288                 20.88
1048576                37.56
2097152                70.69
4194304               163.52
