# OSU MPI_Get-CUDA Bandwidth Test v5.6.2
# Window creation: MPI_Win_create_dynamic
# Synchronization: MPI_Win_fence
# Rank 0 Memory on DEVICE (D) and Rank 1 Memory on DEVICE (D)
# Size      Bandwidth (MB/s)
1                       0.05
2                       0.11
4                       0.22
8                       0.43
16                      0.87
32                      1.74
64                      3.47
128                     6.94
256                    13.89
512                    27.87
1024                   55.53
2048                  110.76
4096                  221.17
8192                  439.85
16384                 866.69
32768                1739.60
65536                3529.37
131072               7458.97
262144               9711.83
524288              10954.42
1048576             11507.64
2097152             11834.72
4194304             11997.40
